States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3137.5,3037.5,2883.33,5775,6312.5,6500,6812.5,5230,3605,,13035.5,,8661,,9687,7468.5,4600,,1512.5,2250,1350,687.5,23-03-2016,1
Tamil Nadu,3300,2950,2872.5,6225,8475,8237.5,8375,5675,3612.5,,14640,,8050.75,,9791.75,7111.75,4575,,1650,1650,2425,1025,24-03-2016,1
Tamil Nadu,2655,2744,2527.5,10580,11060,11510,6960,6850,3890,,15078.6,,8511.6,,8999.2,7097,4692,,1540,1940,1280,1220,25-03-2016,1
Tamil Nadu,3266.67,2653.33,2280,7600,6462.5,8066.67,6562.5,5000,4125,,13809.33,,9065.33,,8864.33,6758,5100,,1483.33,1175,1933.33,925,26-03-2016,1
Tamil Nadu,3037.5,2850,2815,5892.5,6287.5,6587.5,6962.5,5287.5,3550,,13565,,8729.5,,9790.75,7546.75,4466.75,,1512.5,2275,1275,775,27-03-2016,1
Tamil Nadu,3864.29,3037.14,3262.86,6564.29,8628.57,8785.71,8421.43,5928.57,3657.14,,15071.17,12967,7821.14,,10103.43,7217,4585.71,,1485.71,1914.29,3800,2028.57,28-03-2016,1
Tamil Nadu,2743,2744,2550,12580,10340,10680,6580,6600,3890,,15039.4,,8445.6,,9098,6799.8,4550,,1540,1840,1100,820,29-03-2016,2
Tamil Nadu,3330,2692,2670,7200,6180,7260,6450,5150,4040,,13852.6,,8534.8,,8674.8,6765.2,5400,,1510,1480,3120,3620,30-03-2016,2
Tamil Nadu,3075,2900,2860,5775,6400,7375,7125,5222.5,3555,,13128.75,,8978,,9689,7594.25,4525,,1537.5,2525,1750,1100,31-03-2016,2
Tamil Nadu,4150,3032,3410,6620,8780,10020,8560,5880,3584,,15607.2,,7657.6,,9919.2,7233,4560,,1440,2400,4260,2500,01-04-2016,2
Tamil Nadu,2902,2764,2562.5,12160,9860,10130,6430,6500,3926,,14698,,8489.6,,9120,6943.6,4542,,1540,1740,1240,760,02-04-2016,2
Tamil Nadu,3278,2712,2605,6620,6100,6620,6410,4950,4018,,13522.8,,8644.6,,9004,7147.8,4880,,1510,1540,4380,2180,03-04-2016,2
Tamil Nadu,2962.5,2962.5,3017.5,6600,6725,7700,7450,5500,3382.5,,13323.5,,8714,,9737,6975,4466.75,,1442.5,1925,1350,1125,04-04-2016,2
Tamil Nadu,3927.78,3093.33,3032.22,6544.44,8955.56,11700,9055.56,5925,3593.33,2800,14713.67,12483.5,8217.78,,10068.56,7906.11,4688.89,36000,1522.22,2266.67,8277.78,1788.89,05-04-2016,2
Tamil Nadu,2723,2740,2329.25,6460,13940,14900,9660,7700,3172,,12255.2,,7973.2,,8967.4,5651.8,4015,,1492,1620,1880,3000,06-04-2016,2
Tamil Nadu,3185,2804,2582.5,12060,8140,9337.5,6400,6200,3928,,14378.8,,8379.8,,9132,7186,4553,,1540,1540,1240,760,07-04-2016,2
Tamil Nadu,3320,2696,2505,6440,6270,6680,6537.5,5000,3724,,12929.4,,8762.6,,8960.2,7067.2,4800,,1500,1360,3720,680,08-04-2016,2
Tamil Nadu,3100,3000,3084,6440,6940,7810,7340,5280,3390,,14161.2,,8238.4,,9516.2,6875.4,4460,,1542,1940,1240,1620,09-04-2016,2
Tamil Nadu,2611,2770,2336.75,6080,12520,13740,9000,6800,3446,,12057,,7820.4,,8901.8,5750.8,3845,,1510,1640,1560,840,10-04-2016,3
Tamil Nadu,3302,2836,2572.5,9300,6980,9230,6280,5750,4190,,13888.2,,8600.4,,9132,7273.8,4606,,1550,1460,1160,1960,11-04-2016,3
Tamil Nadu,3301,2736,2555,5940,6320,6600,6650,5100,3574,,12775.4,,8784.6,,8982.2,7005.6,4820,,1500,1325,2380,580,12-04-2016,3
Tamil Nadu,2987.5,2925,2862.5,6325,8150,7625,7700,5825,3382.5,,13548,,8397.5,,9335,7187.25,4491.75,,1530,1875,1050,1125,13-04-2016,3
Tamil Nadu,2475,2720,2286.75,5820,11500,13260,8740,6150,3452,,12013,,7798.4,,9044.2,6314,3764,,1530,1480,1280,720,14-04-2016,3
Tamil Nadu,3275,2835,2550,7375,6550,8750,6200,5400,4315,,14112.25,,8811.75,,9120,7011,4475,,1562.5,1300,1200,2100,15-04-2016,3
Tamil Nadu,3126.6,2736,2525,5580,6510,6620,6770,5000,3690,,12840.6,,8698.4,,9054.2,7172.6,4580,,1500,1380,1560,620,16-04-2016,3
Tamil Nadu,3012.5,2925,2865,6250,8150,7600,7675,5800,3422.5,,13521.5,10000,7968.5,,9422.5,7031,4300,,1580,1500,950,1050,17-04-2016,3
Tamil Nadu,2411,2640,2324.25,5940,11500,13110,8260,6700,3700,,12504,,7950.6,,9000.2,6623,3667,,1530,1740,1180,760,18-04-2016,3
Tamil Nadu,3275,2810,2533.33,7625,6850,9325,6775,5700,4285,,14250,,8701.75,,9065,6749.25,4375,,1562.5,1425,1050,1800,19-04-2016,3
Tamil Nadu,3300,2650,2350,5200,6550,6400,6700,4900,3550,,12376.5,,8945,,8845,7383.5,5000,,1400,1500,900,950,20-04-2016,3
Tamil Nadu,3080,3000,2920,6150,8000,7400,7530,5508,3484,,13867.2,9750,8133.8,,9402,6772.4,4256.6,,1584,1680,1060,1660,21-04-2016,3
Tamil Nadu,2355,2637.5,2372.5,7200,13250,16550,8500,7350,3965,,14396.67,,8077,,9025.25,7056.25,4068.75,,1525,1875,1225,2900,22-04-2016,3
Tamil Nadu,3115,2785,2600,7637.5,6900,9350,6775,5400,4210,,14422.75,,8667,,9065,6400.5,4475,,1562.5,1425,875,725,23-04-2016,3
Tamil Nadu,3120,2660,2525,5100,6260,6450,6660,4750,3080,,13186.2,,8933.2,,9216,8171.4,4440,,1500,1980,1000,860,24-04-2016,3
Tamil Nadu,3110,2930,2920,6330,8130,7680,7860,5548,3572,,14140.6,9750,7650,,9542,6722.2,4200,,1594,1860,1140,3060,25-04-2016,3
Tamil Nadu,2484,2637.5,2293.33,7610,12280,15500,8125,7200,3870,,14086.75,,8531.5,,9066.2,6836.8,4486.25,,1530,2000,1275,4080,26-04-2016,1
Tamil Nadu,3175,2740,2533.33,7475,6025,8900,6525,5000,4180,,14395.25,,8667,,8900.75,6593,4675,,1537.5,1450,1150,1200,27-04-2016,1
Tamil Nadu,3090,2670,2525,4980,6260,6530,6740,4750,3094,,13411.8,,8911,,9362,8293,4480,,1500,2040,1060,1240,28-04-2016,1
Tamil Nadu,3190,2942,2920,6330,8610,8380,8300,5608,3598,,14780,9500,7656,,9573,6695.4,4313.4,,1587.5,2000,1620,4070,29-04-2016,1
