group,variable,value
Tripura,Milk @,7000.0
Tripura,Mustard Oil (Packed),12500.0
Tripura,Soya Oil (Packed),10800.0
Tripura,Gur,5200.0
Tripura,Tea Loose,17600.0
Tripura,Salt Pack (Iodised),840.0
Tripura,Potato,2500.0
Tripura,Onion,5000.0
Tripura,Tomato,4950.0
Uttar Pradesh,Rice,3498.63
Uttar Pradesh,Wheat,2474.49
Uttar Pradesh,Atta (Wheat),2934.35
Uttar Pradesh,Gram Dal,7967.1
Uttar Pradesh,Tur/Arhar Dal,14735.4
Uttar Pradesh,Urad Dal,10867.02
Uttar Pradesh,Moong Dal,10114.1
Uttar Pradesh,Masoor Dal,7852.26
Uttar Pradesh,Sugar,4114.5
Uttar Pradesh,Milk @,5753.23
Uttar Pradesh,Groundnut Oil (Packed),17433.88
Uttar Pradesh,Mustard Oil (Packed),12897.59
Uttar Pradesh,Vanaspati (Packed),11472.71
Uttar Pradesh,Soya Oil (Packed),11353.15
Uttar Pradesh,Sunflower Oil (Packed),12781.32
Uttar Pradesh,Palm Oil (Packed),9813.18
Uttar Pradesh,Gur,4575.16
Uttar Pradesh,Tea Loose,21434.4
Uttar Pradesh,Salt Pack (Iodised),2378.61
Uttar Pradesh,Potato,2526.52
Uttar Pradesh,Onion,3673.03
Uttar Pradesh,Tomato,3453.2
West Bengal,Rice,3909.62
West Bengal,Wheat,2571.67
West Bengal,Atta (Wheat),3369.23
West Bengal,Gram Dal,8084.62
West Bengal,Tur/Arhar Dal,15700.0
West Bengal,Urad Dal,11603.85
West Bengal,Moong Dal,10861.54
West Bengal,Masoor Dal,8811.54
West Bengal,Sugar,4265.38
West Bengal,Milk @,5195.38
West Bengal,Groundnut Oil (Packed),18125.0
West Bengal,Mustard Oil (Packed),12838.46
West Bengal,Vanaspati (Packed),10653.85
West Bengal,Soya Oil (Packed),10400.0
West Bengal,Sunflower Oil (Packed),11623.08
West Bengal,Palm Oil (Packed),9254.17
West Bengal,Gur,4857.69
West Bengal,Tea Loose,23038.46
West Bengal,Salt Pack (Iodised),2011.54
West Bengal,Potato,2537.69
West Bengal,Onion,4126.92
West Bengal,Tomato,4291.67
